#,BOROUGH,BLOCK,NEIGHBORHOOD,BUILDING CLASS CATEGORY,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,BUILDING CLASS AT TIME OF SALE,TAX CLASS AT TIME OF SALE,SALE PRICE
4794,5,2882,CONCORD,01 ONE FAMILY DWELLINGS                    ,1,0,1,1875,1200,1910,A1,1,115200
21618,5,2891,CONCORD,01 ONE FAMILY DWELLINGS                    ,1,0,1,4000,1200,1910,A1,1,400000
25856,2,2892,MOUNT HOPE/MOUNT EDEN,01 ONE FAMILY DWELLINGS                    ,1,0,1,5515,1261,1910,A1,1,495000
16560,2,2946,EAST TREMONT,01 ONE FAMILY DWELLINGS                    ,1,0,1,2740,1375,1910,A1,1,460000
24964,5,2983,ROSEBANK,01 ONE FAMILY DWELLINGS                    ,1,0,1,5000,1504,1910,A1,1,470000
25733,4,3029,MIDDLE VILLAGE,01 ONE FAMILY DWELLINGS                    ,1,0,1,5400,1040,1910,A1,1,750000
8698,4,3052,MIDDLE VILLAGE,01 ONE FAMILY DWELLINGS                    ,1,0,1,2013,1216,1910,A1,1,385320
19415,4,3069,MIDDLE VILLAGE,01 ONE FAMILY DWELLINGS                    ,1,0,1,3300,1170,1910,A1,1,735000
15628,4,3179,FOREST HILLS,01 ONE FAMILY DWELLINGS                    ,1,0,1,2600,1312,1910,A1,1,860000
21939,5,3185,DONGAN HILLS,01 ONE FAMILY DWELLINGS                    ,1,0,1,4000,1480,1910,A1,1,650000
21139,2,3221,KINGSBRIDGE HTS/UNIV HTS,01 ONE FAMILY DWELLINGS                    ,1,0,1,3969,3723,1910,A1,1,890000
21087,2,3228,KINGSBRIDGE HTS/UNIV HTS,01 ONE FAMILY DWELLINGS                    ,1,0,1,3933,2762,1910,A1,1,230000
19499,2,3248,KINGSBRIDGE/JEROME PARK,01 ONE FAMILY DWELLINGS                    ,1,0,1,3315,2446,1910,A1,1,590000
9832,2,3261,KINGSBRIDGE/JEROME PARK,01 ONE FAMILY DWELLINGS                    ,1,0,1,2155,1276,1910,A1,1,137000
19107,2,3284,BEDFORD PARK/NORWOOD,01 ONE FAMILY DWELLINGS                    ,1,0,1,3197,2568,1910,A1,1,269000
10801,2,3287,BEDFORD PARK/NORWOOD,01 ONE FAMILY DWELLINGS                    ,1,0,1,2276,1958,1910,A1,1,380000
5936,2,3289,BEDFORD PARK/NORWOOD,01 ONE FAMILY DWELLINGS                    ,1,0,1,1975,1950,1910,A1,1,413400
9080,2,3289,BEDFORD PARK/NORWOOD,01 ONE FAMILY DWELLINGS                    ,1,0,1,2056,1551,1910,A1,1,405000
17659,2,3290,BEDFORD PARK/NORWOOD,01 ONE FAMILY DWELLINGS                    ,1,0,1,2960,1736,1910,A1,1,242050
10057,2,3309,BEDFORD PARK/NORWOOD,01 ONE FAMILY DWELLINGS                    ,1,0,1,2190,2715,1910,A1,1,490000
11569,2,3315,BEDFORD PARK/NORWOOD,01 ONE FAMILY DWELLINGS                    ,1,0,1,2375,1320,1910,A1,1,344500
25038,5,3321,GRANT CITY,01 ONE FAMILY DWELLINGS                    ,1,0,1,5000,1838,1910,A1,1,755000
24355,2,3385,WOODLAWN,01 ONE FAMILY DWELLINGS                    ,1,0,1,4689,1036,1910,A1,1,415000
20193,2,3385,WOODLAWN,01 ONE FAMILY DWELLINGS                    ,1,0,1,3581,1286,1910,A1,1,455000
13229,2,3392,WOODLAWN,01 ONE FAMILY DWELLINGS                    ,1,0,1,2500,1370,1910,A1,1,449000
24226,5,3638,NEW DORP,01 ONE FAMILY DWELLINGS                    ,1,0,1,4600,1116,1910,A1,1,510000
13672,4,3662,GLENDALE,01 ONE FAMILY DWELLINGS                    ,1,0,1,2500,1720,1910,A1,1,670000
11551,4,3682,GLENDALE,01 ONE FAMILY DWELLINGS                    ,1,0,1,2375,1155,1910,A1,1,655000
19844,2,3698,CASTLE HILL/UNIONPORT,01 ONE FAMILY DWELLINGS                    ,1,0,1,3425,1620,1910,A1,1,476000
8766,4,3830,GLENDALE,01 ONE FAMILY DWELLINGS                    ,1,0,1,2018,1328,1910,A1,1,425000
7149,3,3911,CYPRESS HILLS,01 ONE FAMILY DWELLINGS                    ,1,0,1,2000,1635,1910,A1,1,535000
7161,3,3911,CYPRESS HILLS,01 ONE FAMILY DWELLINGS                    ,1,0,1,2000,1650,1910,A1,1,134000
7060,3,3927,CYPRESS HILLS,01 ONE FAMILY DWELLINGS                    ,1,0,1,2000,1560,1910,A1,1,170000
11292,3,3928,CYPRESS HILLS,01 ONE FAMILY DWELLINGS                    ,1,0,1,2333,1360,1910,A1,1,590000
6520,3,3928,CYPRESS HILLS,01 ONE FAMILY DWELLINGS                    ,1,0,1,2000,1260,1910,A1,1,161500
10622,2,3937,PARKCHESTER,01 ONE FAMILY DWELLINGS                    ,1,0,1,2250,1673,1910,A1,1,335381
17668,2,3977,WESTCHESTER,01 ONE FAMILY DWELLINGS                    ,1,0,1,2965,864,1910,A1,1,400000
26030,4,4042,COLLEGE POINT,01 ONE FAMILY DWELLINGS                    ,1,0,1,5780,1924,1910,A1,1,866000
13384,4,4046,COLLEGE POINT,01 ONE FAMILY DWELLINGS                    ,1,0,1,2500,1500,1910,A1,1,687500
13129,4,4048,COLLEGE POINT,01 ONE FAMILY DWELLINGS                    ,1,0,1,2500,1276,1910,A1,1,628000
12986,4,4081,COLLEGE POINT,01 ONE FAMILY DWELLINGS                    ,1,0,1,2500,1170,1910,A1,1,660000
13415,2,4100,MORRIS PARK/VAN NEST,01 ONE FAMILY DWELLINGS                    ,1,0,1,2500,1513,1910,A1,1,510000
13170,2,4100,MORRIS PARK/VAN NEST,01 ONE FAMILY DWELLINGS                    ,1,0,1,2500,1309,1910,A1,1,400000
11489,2,4172,SCHUYLERVILLE/PELHAM BAY,01 ONE FAMILY DWELLINGS                    ,1,0,1,2365,1386,1910,A1,1,455000
6279,3,4245,EAST NEW YORK,01 ONE FAMILY DWELLINGS                    ,1,0,1,2000,1008,1910,A1,1,41500
17461,2,4262,MORRIS PARK/VAN NEST,01 ONE FAMILY DWELLINGS                    ,1,0,1,2902,2802,1910,A1,1,630000
18195,2,4435,BRONXDALE,01 ONE FAMILY DWELLINGS                    ,1,0,1,3000,1788,1910,A1,1,195000
24793,2,4480,PELHAM PARKWAY NORTH,01 ONE FAMILY DWELLINGS                    ,1,0,1,5000,683,1910,A1,1,440000
27306,5,4633,GREAT KILLS,01 ONE FAMILY DWELLINGS                    ,1,0,1,8043,2110,1910,A1,1,675000
24452,2,4645,WILLIAMSBRIDGE,01 ONE FAMILY DWELLINGS                    ,1,0,1,4750,1620,1910,A1,1,395000
17230,2,4666,WILLIAMSBRIDGE,01 ONE FAMILY DWELLINGS                    ,1,0,1,2856,1267,1910,A1,1,312500
17234,2,4666,WILLIAMSBRIDGE,01 ONE FAMILY DWELLINGS                    ,1,0,1,2856,1387,1910,A1,1,243508
16414,2,4745,BAYCHESTER,01 ONE FAMILY DWELLINGS                    ,1,0,1,2701,1096,1910,A1,1,420000
24040,4,4799,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS                    ,1,0,1,4500,1254,1910,A1,1,645000
16798,2,4855,WILLIAMSBRIDGE,01 ONE FAMILY DWELLINGS                    ,1,0,1,2790,1496,1910,A1,1,392000
26624,2,4865,WILLIAMSBRIDGE,01 ONE FAMILY DWELLINGS                    ,1,0,1,6401,1704,1910,A1,1,450000
6977,3,4888,FLATBUSH-EAST,01 ONE FAMILY DWELLINGS                    ,1,0,1,2000,1520,1910,A1,1,400000
9023,3,4949,FLATBUSH-EAST,01 ONE FAMILY DWELLINGS                    ,1,0,1,2050,1519,1910,A1,1,536000
23753,4,4992,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS                    ,1,0,1,4320,1963,1910,A1,1,928000
26982,4,5027,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS                    ,1,0,1,7400,2505,1910,A1,1,2700000
22980,3,5028,FLATBUSH-LEFFERTS GARDEN,01 ONE FAMILY DWELLINGS                    ,1,0,1,4000,3963,1910,A1,1,1700000
27355,3,5065,FLATBUSH-CENTRAL,01 ONE FAMILY DWELLINGS                    ,1,0,1,8400,2462,1910,A1,1,3450000
23252,5,5119,GREAT KILLS,01 ONE FAMILY DWELLINGS                    ,1,0,1,4095,1662,1910,A1,1,495000
12931,4,5149,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS                    ,1,0,1,2500,1092,1910,A1,1,750000
25481,3,5181,FLATBUSH-CENTRAL,01 ONE FAMILY DWELLINGS                    ,1,0,1,5100,3471,1910,A1,1,2500000
25840,3,5181,FLATBUSH-CENTRAL,01 ONE FAMILY DWELLINGS                    ,1,0,1,5500,3492,1910,A1,1,2499000
22502,3,5197,FLATBUSH-CENTRAL,01 ONE FAMILY DWELLINGS                    ,1,0,1,4000,2085,1910,A1,1,1645000
11588,4,5203,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS                    ,1,0,1,2375,1485,1910,A1,1,1100000
25271,3,5204,FLATBUSH-CENTRAL,01 ONE FAMILY DWELLINGS                    ,1,0,1,5000,3340,1910,A1,1,2386150
25272,3,5204,FLATBUSH-CENTRAL,01 ONE FAMILY DWELLINGS                    ,1,0,1,5000,3340,1910,A1,1,1433250
25618,3,5237,FLATBUSH-CENTRAL,01 ONE FAMILY DWELLINGS                    ,1,0,1,5250,2977,1910,A1,1,1475000
23551,3,5237,FLATBUSH-CENTRAL,01 ONE FAMILY DWELLINGS                    ,1,0,1,4200,2704,1910,A1,1,410000
25615,3,5237,FLATBUSH-CENTRAL,01 ONE FAMILY DWELLINGS                    ,1,0,1,5250,2642,1910,A1,1,1430000
23786,4,5275,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS                    ,1,0,1,4352,1936,1910,A1,1,900000
1891,3,5307,KENSINGTON,01 ONE FAMILY DWELLINGS                    ,1,0,1,1564,1410,1910,A1,1,975000
5095,3,5307,KENSINGTON,01 ONE FAMILY DWELLINGS                    ,1,0,1,1900,1360,1910,A1,1,1098000
9398,3,5327,KENSINGTON,01 ONE FAMILY DWELLINGS                    ,1,0,1,2100,1476,1910,A1,1,1285000
17399,2,5353,SCHUYLERVILLE/PELHAM BAY,01 ONE FAMILY DWELLINGS                    ,1,0,1,2900,1548,1910,A1,1,485000
18634,4,5378,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS                    ,1,0,1,3042,1872,1910,A1,1,920000
18962,4,5387,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS                    ,1,0,1,3139,1528,1910,A1,1,970000
18600,4,5387,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS                    ,1,0,1,3031,1551,1910,A1,1,935000
17885,4,5439,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS                    ,1,0,1,3000,1252,1910,A1,1,770000
17886,4,5439,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS                    ,1,0,1,3000,1252,1910,A1,1,775000
22047,4,5439,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS                    ,1,0,1,4000,1584,1910,A1,1,965000
21136,4,5459,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS                    ,1,0,1,3967,1335,1910,A1,1,780000
22256,3,5478,BOROUGH PARK,01 ONE FAMILY DWELLINGS                    ,1,0,1,4000,1820,1910,A1,1,3515000
25823,2,5483,COUNTRY CLUB,01 ONE FAMILY DWELLINGS                    ,1,0,1,5500,1900,1910,A1,1,535000
25916,2,5625,CITY ISLAND,01 ONE FAMILY DWELLINGS                    ,1,0,1,5601,2324,1910,A1,1,1030000
20147,4,6053,BAYSIDE,01 ONE FAMILY DWELLINGS                    ,1,0,1,3555,2216,1910,A1,1,760000
20148,4,6053,BAYSIDE,01 ONE FAMILY DWELLINGS                    ,1,0,1,3555,2216,1910,A1,1,917500
22270,3,6191,BENSONHURST,01 ONE FAMILY DWELLINGS                    ,1,0,1,4000,1838,1910,A1,1,1350000
24520,5,6226,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,0,1,4785,944,1910,A1,1,405000
26536,4,6289,BAYSIDE,01 ONE FAMILY DWELLINGS                    ,1,0,1,6242,1839,1910,A1,1,920000
22820,4,6303,BAYSIDE,01 ONE FAMILY DWELLINGS                    ,1,0,1,4000,2538,1910,A1,1,870000
20932,3,6414,BATH BEACH,01 ONE FAMILY DWELLINGS                    ,1,0,1,3867,2739,1910,A1,1,950000
27416,5,6681,PRINCES BAY,01 ONE FAMILY DWELLINGS                    ,1,0,1,8848,2008,1910,A1,1,485000
22316,3,6687,FLATBUSH-CENTRAL,01 ONE FAMILY DWELLINGS                    ,1,0,1,4000,1888,1910,A1,1,1700000
22938,3,6687,FLATBUSH-CENTRAL,01 ONE FAMILY DWELLINGS                    ,1,0,1,4000,3151,1910,A1,1,1155000
22923,3,6688,FLATBUSH-CENTRAL,01 ONE FAMILY DWELLINGS                    ,1,0,1,4000,3070,1910,A1,1,1705000
24051,3,6688,FLATBUSH-CENTRAL,01 ONE FAMILY DWELLINGS                    ,1,0,1,4500,1560,1910,A1,1,761893
25243,3,6693,FLATBUSH-CENTRAL,01 ONE FAMILY DWELLINGS                    ,1,0,1,5000,3003,1910,A1,1,1657500
13366,3,6707,MIDWOOD,01 ONE FAMILY DWELLINGS                    ,1,0,1,2500,1488,1910,A1,1,860000
22562,3,6711,MIDWOOD,01 ONE FAMILY DWELLINGS                    ,1,0,1,4000,2155,1910,A1,1,1407000
22877,3,6711,MIDWOOD,01 ONE FAMILY DWELLINGS                    ,1,0,1,4000,2762,1910,A1,1,1700000
8771,3,6745,MIDWOOD,01 ONE FAMILY DWELLINGS                    ,1,0,1,2018,1620,1910,A1,1,1175000
10690,3,6745,MIDWOOD,01 ONE FAMILY DWELLINGS                    ,1,0,1,2252,1620,1910,A1,1,925000
24638,5,7067,ROSSVILLE,01 ONE FAMILY DWELLINGS                    ,1,0,1,4845,1344,1910,A1,1,480000
10126,3,7312,MADISON,01 ONE FAMILY DWELLINGS                    ,1,0,1,2200,1256,1910,A1,1,815000
21758,5,7356,ROSSVILLE-CHARLESTON,01 ONE FAMILY DWELLINGS                    ,1,0,1,4000,1300,1910,A1,1,566500
21759,5,7356,ROSSVILLE-CHARLESTON,01 ONE FAMILY DWELLINGS                    ,1,0,1,4000,1300,1910,A1,1,375000
21892,5,7356,ROSSVILLE-CHARLESTON,01 ONE FAMILY DWELLINGS                    ,1,0,1,4000,1440,1910,A1,1,640000
25702,5,7408,ROSSVILLE-CHARLESTON,01 ONE FAMILY DWELLINGS                    ,1,0,1,5350,2210,1910,A1,1,400000
25662,5,7420,PLEASANT PLAINS,01 ONE FAMILY DWELLINGS                    ,1,0,1,5292,1822,1910,A1,1,450000
27494,5,7540,PLEASANT PLAINS,01 ONE FAMILY DWELLINGS                    ,1,0,1,9435,1696,1910,A1,1,642500
27495,5,7540,PLEASANT PLAINS,01 ONE FAMILY DWELLINGS                    ,1,0,1,9435,1696,1910,A1,1,642500
22459,3,7549,MIDWOOD,01 ONE FAMILY DWELLINGS                    ,1,0,1,4000,2029,1910,A1,1,1135000
20571,3,7642,MIDWOOD,01 ONE FAMILY DWELLINGS                    ,1,0,1,3750,1941,1910,A1,1,1140000
20547,3,7656,MIDWOOD,01 ONE FAMILY DWELLINGS                    ,1,0,1,3746,2236,1910,A1,1,1775000
18255,3,7662,MIDWOOD,01 ONE FAMILY DWELLINGS                    ,1,0,1,3000,1926,1910,A1,1,2075000
27756,5,7664,PLEASANT PLAINS,01 ONE FAMILY DWELLINGS                    ,1,0,1,10906,3115,1910,A1,1,645000
16129,3,7743,FLATBUSH-EAST,01 ONE FAMILY DWELLINGS                    ,1,0,1,2667,2024,1910,A1,1,350000
22042,3,7744,FLATBUSH-EAST,01 ONE FAMILY DWELLINGS                    ,1,0,1,4000,1577,1910,A1,1,315000
21354,3,7768,FLATBUSH-EAST,01 ONE FAMILY DWELLINGS                    ,1,0,1,4000,1040,1910,A1,1,485000
21095,5,7999,TOTTENVILLE,01 ONE FAMILY DWELLINGS                    ,1,0,1,3939,855,1910,A1,1,447500
12625,3,8203,CANARSIE,01 ONE FAMILY DWELLINGS                    ,1,0,1,2471,924,1910,A1,1,344000
5837,4,8839,WOODHAVEN,01 ONE FAMILY DWELLINGS                    ,1,0,1,1963,1650,1910,A1,1,250000
25406,4,8844,WOODHAVEN,01 ONE FAMILY DWELLINGS                    ,1,0,1,5046,4034,1910,A1,1,680000
6678,4,8850,WOODHAVEN,01 ONE FAMILY DWELLINGS                    ,1,0,1,2000,1340,1910,A1,1,475000
6638,4,8851,WOODHAVEN,01 ONE FAMILY DWELLINGS                    ,1,0,1,2000,1320,1910,A1,1,515000
25137,4,8855,WOODHAVEN,01 ONE FAMILY DWELLINGS                    ,1,0,1,5000,2240,1910,A1,1,720000
22594,4,8860,WOODHAVEN,01 ONE FAMILY DWELLINGS                    ,1,0,1,4000,2188,1910,A1,1,670000
11216,4,8900,WOODHAVEN,01 ONE FAMILY DWELLINGS                    ,1,0,1,2319,1742,1910,A1,1,489000
15034,4,8900,WOODHAVEN,01 ONE FAMILY DWELLINGS                    ,1,0,1,2522,1328,1910,A1,1,530000
10440,4,8900,WOODHAVEN,01 ONE FAMILY DWELLINGS                    ,1,0,1,2220,1422,1910,A1,1,501000
10441,4,8900,WOODHAVEN,01 ONE FAMILY DWELLINGS                    ,1,0,1,2220,1422,1910,A1,1,510000
15050,4,8900,WOODHAVEN,01 ONE FAMILY DWELLINGS                    ,1,0,1,2523,1648,1910,A1,1,384000
3472,4,8904,WOODHAVEN,01 ONE FAMILY DWELLINGS                    ,1,0,1,1775,1118,1910,A1,1,332000
13429,4,8966,WOODHAVEN,01 ONE FAMILY DWELLINGS                    ,1,0,1,2500,1527,1910,A1,1,650000
20526,4,9190,RICHMOND HILL,01 ONE FAMILY DWELLINGS                    ,1,0,1,3742,1876,1910,A1,1,750000
26587,4,9191,RICHMOND HILL,01 ONE FAMILY DWELLINGS                    ,1,0,1,6305,2070,1910,A1,1,840000
19445,4,9295,RICHMOND HILL,01 ONE FAMILY DWELLINGS                    ,1,0,1,3300,1710,1910,A1,1,639000
11090,4,9326,RICHMOND HILL,01 ONE FAMILY DWELLINGS                    ,1,0,1,2300,2025,1910,A1,1,368000
6547,4,9406,RICHMOND HILL,01 ONE FAMILY DWELLINGS                    ,1,0,1,2000,1280,1910,A1,1,435000
27298,4,9448,RICHMOND HILL,01 ONE FAMILY DWELLINGS                    ,1,0,1,8014,2465,1910,A1,1,320000
20655,4,9458,RICHMOND HILL,01 ONE FAMILY DWELLINGS                    ,1,0,1,3780,1578,1910,A1,1,555000
10771,4,9464,RICHMOND HILL,01 ONE FAMILY DWELLINGS                    ,1,0,1,2270,1290,1910,A1,1,430000
8473,4,9491,RICHMOND HILL,01 ONE FAMILY DWELLINGS                    ,1,0,1,2002,1344,1910,A1,1,489000
22160,4,9544,RICHMOND HILL,01 ONE FAMILY DWELLINGS                    ,1,0,1,4000,1709,1910,A1,1,550000
24070,4,9725,BRIARWOOD,01 ONE FAMILY DWELLINGS                    ,1,0,1,4500,2026,1910,A1,1,990500
21962,4,9863,JAMAICA HILLS,01 ONE FAMILY DWELLINGS                    ,1,0,1,4000,1498,1910,A1,1,700000
17968,4,9903,HOLLIS,01 ONE FAMILY DWELLINGS                    ,1,0,1,3000,1400,1910,A1,1,570000
18903,4,10045,SOUTH JAMAICA,01 ONE FAMILY DWELLINGS                    ,1,0,1,3125,1584,1910,A1,1,500000
1539,4,10125,SOUTH JAMAICA,01 ONE FAMILY DWELLINGS                    ,1,0,1,1500,750,1910,A1,1,270000
4686,4,10149,SOUTH JAMAICA,01 ONE FAMILY DWELLINGS                    ,1,0,1,1857,1152,1910,A1,1,400000
13032,4,10149,SOUTH JAMAICA,01 ONE FAMILY DWELLINGS                    ,1,0,1,2500,1208,1910,A1,1,274000
20428,4,10149,SOUTH JAMAICA,01 ONE FAMILY DWELLINGS                    ,1,0,1,3694,1142,1910,A1,1,300000
16768,4,10150,SOUTH JAMAICA,01 ONE FAMILY DWELLINGS                    ,1,0,1,2776,1116,1910,A1,1,285000
1019,4,10150,SOUTH JAMAICA,01 ONE FAMILY DWELLINGS                    ,1,0,1,1332,560,1910,A1,1,205000
23215,4,10202,SOUTH JAMAICA,01 ONE FAMILY DWELLINGS                    ,1,0,1,4080,1182,1910,A1,1,499900
26286,4,10314,ST. ALBANS,01 ONE FAMILY DWELLINGS                    ,1,0,1,6000,2056,1910,A1,1,400000
20331,4,11337,OZONE PARK,01 ONE FAMILY DWELLINGS                    ,1,0,1,3623,1720,1910,A1,1,360000
2036,4,11966,SOUTH JAMAICA,01 ONE FAMILY DWELLINGS                    ,1,0,1,1600,938,1910,A1,1,420000
18007,4,12317,SPRINGFIELD GARDENS,01 ONE FAMILY DWELLINGS                    ,1,0,1,3000,1458,1910,A1,1,475000
25830,4,13112,LAURELTON,01 ONE FAMILY DWELLINGS                    ,1,0,1,5500,2288,1910,A1,1,325000
18886,4,13135,LAURELTON,01 ONE FAMILY DWELLINGS                    ,1,0,1,3125,544,1910,A1,1,478000
17603,4,14228,HOWARD BEACH,01 ONE FAMILY DWELLINGS                    ,1,0,1,2945,980,1910,A1,1,201002
13012,4,15317,BROAD CHANNEL,01 ONE FAMILY DWELLINGS                    ,1,0,1,2500,1200,1910,A1,1,356420
13238,4,15656,FAR ROCKAWAY,01 ONE FAMILY DWELLINGS                    ,1,0,1,2500,1380,1910,A1,1,299000
6584,4,15657,FAR ROCKAWAY,01 ONE FAMILY DWELLINGS                    ,1,0,1,2000,1296,1910,A1,1,231000
15363,4,16185,ROCKAWAY PARK,01 ONE FAMILY DWELLINGS                    ,1,0,1,2561,1560,1910,A1,1,580000
27202,4,16275,BELLE HARBOR,01 ONE FAMILY DWELLINGS                    ,1,0,1,7870,3212,1910,A1,1,750000
6150,4,2913,MIDDLE VILLAGE,01 ONE FAMILY DWELLINGS                    ,1,0,1,2000,576,1910,A2,1,550000
11234,2,3442,SOUNDVIEW,01 ONE FAMILY DWELLINGS                    ,1,0,1,2322,970,1910,A2,1,265000
20648,4,3666,GLENDALE,01 ONE FAMILY DWELLINGS                    ,1,0,1,3776,664,1910,A2,1,200000
13635,3,3928,CYPRESS HILLS,01 ONE FAMILY DWELLINGS                    ,1,0,1,2500,1680,1910,A2,1,320000
24828,4,3948,COLLEGE POINT,01 ONE FAMILY DWELLINGS                    ,1,0,1,5000,988,1910,A2,1,780000
3618,5,4092,NEW DORP-BEACH,01 ONE FAMILY DWELLINGS                    ,1,0,1,1800,570,1910,A2,1,200000
9600,3,4121,CYPRESS HILLS,01 ONE FAMILY DWELLINGS                    ,1,0,1,2125,873,1910,A2,1,250000
7026,3,4274,EAST NEW YORK,01 ONE FAMILY DWELLINGS                    ,1,0,1,2000,1540,1910,A2,1,379000
2905,3,4284,EAST NEW YORK,01 ONE FAMILY DWELLINGS                    ,1,0,1,1700,720,1910,A2,1,330000
17226,2,4677,WILLIAMSBRIDGE,01 ONE FAMILY DWELLINGS                    ,1,0,1,2856,1092,1910,A2,1,173250
17225,2,4678,WILLIAMSBRIDGE,01 ONE FAMILY DWELLINGS                    ,1,0,1,2856,827,1910,A2,1,180000
8464,2,4790,BAYCHESTER,01 ONE FAMILY DWELLINGS                    ,1,0,1,2002,855,1910,A2,1,175000
20677,2,4791,BAYCHESTER,01 ONE FAMILY DWELLINGS                    ,1,0,1,3788,870,1910,A2,1,784000
24655,2,5059,WAKEFIELD,01 ONE FAMILY DWELLINGS                    ,2,0,2,4871,1068,1910,A2,1,655000
23072,2,5097,WAKEFIELD,01 ONE FAMILY DWELLINGS                    ,1,0,1,4010,1314,1910,A2,1,371000
11562,2,5135,BAYCHESTER,01 ONE FAMILY DWELLINGS                    ,1,0,1,2375,1260,1910,A2,1,230000
13568,2,5306,SCHUYLERVILLE/PELHAM BAY,01 ONE FAMILY DWELLINGS                    ,1,0,1,2500,1620,1910,A2,1,299250
21134,2,5311,SCHUYLERVILLE/PELHAM BAY,01 ONE FAMILY DWELLINGS                    ,1,0,1,3965,1690,1910,A2,1,521000
14853,3,6032,BAY RIDGE,01 ONE FAMILY DWELLINGS                    ,1,0,1,2503,1218,1910,A2,1,725000
17789,5,6370,ANNADALE,01 ONE FAMILY DWELLINGS                    ,1,0,1,3000,975,1910,A2,1,424068
21210,3,8542,MARINE PARK,01 ONE FAMILY DWELLINGS                    ,1,0,1,4000,800,1910,A2,1,407500
4554,3,8667,BRIGHTON BEACH,01 ONE FAMILY DWELLINGS                    ,1,0,1,1840,692,1910,A2,1,243800
2876,3,8678,BRIGHTON BEACH,01 ONE FAMILY DWELLINGS                    ,1,0,1,1694,816,1910,A2,1,590000
23987,4,12217,SO. JAMAICA-BAISLEY PARK,01 ONE FAMILY DWELLINGS                    ,1,0,1,4493,1846,1910,A2,1,315000
22164,4,12217,SO. JAMAICA-BAISLEY PARK,01 ONE FAMILY DWELLINGS                    ,1,0,1,4000,1712,1910,A2,1,655000
22165,4,12217,SO. JAMAICA-BAISLEY PARK,01 ONE FAMILY DWELLINGS                    ,1,0,1,4000,1712,1910,A2,1,300000
12790,4,15318,BROAD CHANNEL,01 ONE FAMILY DWELLINGS                    ,1,0,1,2500,654,1910,A2,1,130000
26110,4,3330,KEW GARDENS,01 ONE FAMILY DWELLINGS                    ,1,0,1,5918,3926,1910,A3,1,1450000
26429,4,3330,KEW GARDENS,01 ONE FAMILY DWELLINGS                    ,1,0,1,6017,2383,1910,A3,1,1480000
15808,4,3335,KEW GARDENS,01 ONE FAMILY DWELLINGS                    ,1,0,1,2613,4088,1910,A3,1,1199000
26820,4,3344,FOREST HILLS,01 ONE FAMILY DWELLINGS                    ,1,0,1,6900,2156,1910,A3,1,1300000
25797,4,3344,FOREST HILLS,01 ONE FAMILY DWELLINGS                    ,1,0,1,5487,2097,1910,A3,1,1300000
27383,3,5204,FLATBUSH-CENTRAL,01 ONE FAMILY DWELLINGS                    ,1,0,1,8640,3744,1910,A3,1,233220
27967,2,5749,RIVERDALE,01 ONE FAMILY DWELLINGS                    ,1,0,1,13804,3505,1910,A3,1,2000000
27491,2,5813,FIELDSTON,01 ONE FAMILY DWELLINGS                    ,1,0,1,9400,2788,1910,A3,1,1877000
27869,2,5937,RIVERDALE,01 ONE FAMILY DWELLINGS                    ,1,0,1,12200,3000,1910,A3,1,2942500
26682,3,5948,BAY RIDGE,01 ONE FAMILY DWELLINGS                    ,1,0,1,6560,2855,1910,A3,1,2300000
23649,3,6004,BAY RIDGE,01 ONE FAMILY DWELLINGS                    ,1,0,1,4266,2160,1910,A3,1,2200000
23459,3,6032,BAY RIDGE,01 ONE FAMILY DWELLINGS                    ,1,0,1,4187,1774,1910,A3,1,2100000
15868,3,7103,GRAVESEND,01 ONE FAMILY DWELLINGS                    ,1,0,1,2625,1806,1910,A3,1,1520000
1455,3,178,BOERUM HILL,01 ONE FAMILY DWELLINGS                    ,1,0,1,1470,2954,1910,A4,1,2250000
3423,1,615,GREENWICH VILLAGE-WEST,01 ONE FAMILY DWELLINGS                    ,1,0,1,1764,4073,1910,A4,1,19000000
18,1,893,MURRAY HILL,01 ONE FAMILY DWELLINGS                    ,1,0,1,495,1920,1910,A4,1,3850000
17,1,893,MURRAY HILL,01 ONE FAMILY DWELLINGS                    ,1,0,1,491,1824,1910,A4,1,2650000
9822,3,1077,PARK SLOPE,01 ONE FAMILY DWELLINGS                    ,1,0,1,2150,4920,1910,A4,1,5400000
9769,1,1126,UPPER WEST SIDE (59-79),01 ONE FAMILY DWELLINGS                    ,1,0,1,2146,6485,1910,A4,1,15500000
